Transaction Date,Ticker,Full Name,Transaction,Amount (USD),Description
2025-01-14,"AMAZON.COM, INC.",AMZN,Purchase,"250,001 - 500,000",Purchased 50 Call Options
2025-01-14,ALPHABET INC.,GOOGL,Purchase,"250,001 - 500,000",Purchased 50 Call Options
2025-01-14,NVIDIA CORPORATION,NVDA,Purchase,"250,001 - 500,000",Purchased 50 Call Options
2025-01-14,"TEMPUS AI, INC.",TEM,Purchase,"50,001 - 100,000",Purchased 50 Call Options
2025-01-14,VISTRA CORP. COMMON STOCK,VST,Purchase,"500,001 - 1,000,000",Purchased 50 Call Options
2024-12-31,APPLE INC.,AAPL,Sale,"5,000,001 - 25,000,000","Sold 31,600 Shares"
2024-12-31,NVIDIA CORPORATION,NVDA,Sale,"1,000,001 - 5,000,000","Sold 10,000 Shares"
2024-12-20,NVIDIA CORPORATION,NVDA,Purchase,"500,001 - 1,000,000",Exercised 500 Call Options
2024-12-20,"PALO ALTO NETWORKS, INC.",PANW,Purchase,"1,000,001 - 5,000,000",Exercised 140 Call Options
2024-07-26,MICROSOFT CORPORATION,MSFT,Sale,"1,000,001 - 5,000,000","Sold 5,000 Shares"
2024-07-26,NVIDIA CORPORATION,NVDA,Purchase,"1,000,001 - 5,000,000","Purchased 10,000 Shares"
2024-07-01,VISA INC.,V,Sale,"500,001 - 1,000,000","Sold 2,000 Shares"
2024-06-26,NVIDIA CORPORATION,NVDA,Purchase,"1,000,001 - 5,000,000","Purchased 10,000 Shares"
2024-06-24,BROADCOM INC.,AVGO,Purchase,"1,000,001 - 5,000,000",Purchased 20 Call Options
2024-06-24,"TESLA, INC.",TSLA,Sale,"250,001 - 500,000","Sold 2,500 Shares"
2024-02-21,"PALO ALTO NETWORKS, INC.",PANW,Purchase,"100,001 - 250,000",Purchased 20 Call Options
2024-02-12,"PALO ALTO NETWORKS, INC.",PANW,Purchase,"500,001 - 1,000,000",Purchased 50 Call Options
2023-11-22,NVIDIA CORPORATION,NVDA,Purchase,"1,000,001 - 5,000,000",Purchased 50 Call Options
2023-06-15,APPLE INC.,AAPL,Purchase,"250,001 - 500,000",Exercised 50 Call Options
2023-06-15,MICROSOFT CORPORATION,MSFT,Purchase,"500,001 - 1,000,000",Exercised 50 Call Options
2023-05-08,APPLE INC.,AAPL,Sale,"500,001 - 1,000,000","Contribution Of 2,900 Shares"
2023-03-17,APPLE INC.,AAPL,Purchase,"500,001 - 1,000,000",Exercised 100 Call Options
2023-01-20,ROBLOX CORPORATION CLASS A,RBLX,Sale,1.00 - 100,100 Call Options
2022-12-30,"NETFLIX, INC.",NFLX,Sale,"250,001 - 500,000",
2022-12-29,"NETFLIX, INC.",NFLX,Sale,"250,001 - 500,000","Sold 1,000 Shares"
2022-12-28,ALPHABET INC.,GOOGL,Sale,"500,001 - 1,000,000","Sold 10,000 Shares"
2022-12-28,"PAYPAL HOLDINGS, INC.",PYPL,Sale,"250,001 - 500,000","Sold 5,000 Shares"
2022-12-28,ROBLOX CORPORATION CLASS A,RBLX,Sale,"100,001 - 250,000","Sold 5,000 Shares"
2022-12-21,WALT DISNEY COMPANY,DIS,Sale,"500,001 - 1,000,000","Sold 10,000 Shares"
2022-12-21,ALPHABET INC.,GOOGL,Sale,"500,001 - 1,000,000","Sold 10,000 Shares"
